ticker,version,recorded_status,dataset_exists,pipeline_version,pipeline_hash_recorded,target_definition_recorded,provenance_classification
ADANIENT.NS,3c7a4a5ae14c,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ADANIENT.NS,66c2ef3e02d0,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ADANIENT.NS,02396567e184,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ADANIPORTS.NS,dd85a7190418,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ADANIPORTS.NS,06bc74a2363f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ADANIPORTS.NS,b93ab9691be4,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
APOLLOHOSP.NS,cbe6d8ee7790,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
APOLLOHOSP.NS,a0bd0b468e8b,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
APOLLOHOSP.NS,05ede10abd64,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ASIANPAINT.NS,fc03c2cbd1c4,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ASIANPAINT.NS,4824c1b99db7,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ASIANPAINT.NS,e6259388a183,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
AXISBANK.NS,c5887408a2bd,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
AXISBANK.NS,c9b756f77ab8,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
AXISBANK.NS,6714ad67d111,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJAJ-AUTO.NS,4ead6a75dc12,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJAJ-AUTO.NS,48c2a43dffff,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJAJ-AUTO.NS,db9e0769b1d1,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJFINANCE.NS,433d0ad7ddca,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJFINANCE.NS,397cf26016b6,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJFINANCE.NS,19fd01804fed,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJAJFINSV.NS,d7782e81c688,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJAJFINSV.NS,d1602b7bb0cc,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BAJAJFINSV.NS,550436d37c2e,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BEL.NS,5c1ff0aa0aad,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BEL.NS,d531ce73163b,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BEL.NS,5cc7f5c36428,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BHARTIARTL.NS,54da001749a5,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BHARTIARTL.NS,909066bc44c9,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BHARTIARTL.NS,1db6ff197a40,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BRITANNIA.NS,fd8d23128b94,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BRITANNIA.NS,b4951f71a6bf,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
BRITANNIA.NS,75a51f014587,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
CIPLA.NS,4667a453f22d,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
CIPLA.NS,91f547418e28,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
CIPLA.NS,a133bb37aed0,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
COALINDIA.NS,34ba065a209a,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
COALINDIA.NS,8c000efaacb2,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
COALINDIA.NS,174fb1f190ff,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
DRREDDY.NS,776e48979a61,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
DRREDDY.NS,2ac38559612d,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
DRREDDY.NS,7210d4a2ac7f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
EICHERMOT.NS,cebb182a5b8f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
EICHERMOT.NS,f4fcbc8ea09b,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
EICHERMOT.NS,1add26b9ab6f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ETERNAL.NS,e88bbaaef3e7,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ETERNAL.NS,95138f428631,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ETERNAL.NS,213c7cdf6b07,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
GRASIM.NS,bd33d236146e,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
GRASIM.NS,60c64b7bac5f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
GRASIM.NS,2c1de894a637,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HCLTECH.NS,e3f525b6c80b,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HCLTECH.NS,0897f8e186c5,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HCLTECH.NS,c52c57f19196,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HDFCBANK.NS,44def814527e,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HDFCBANK.NS,ea91152f3700,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HDFCBANK.NS,4a79ab752e51,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HDFCLIFE.NS,41399ec09316,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HDFCLIFE.NS,645a8e00fc74,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HDFCLIFE.NS,2a47400ee179,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HEROMOTOCO.NS,38319e433e38,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HEROMOTOCO.NS,8bc8602ae09a,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HEROMOTOCO.NS,50e12ce11fad,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HINDALCO.NS,75117f692dd8,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HINDALCO.NS,dbc2925e4fde,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HINDALCO.NS,75c4bcd16d7e,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HINDUNILVR.NS,cd95e34ed076,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HINDUNILVR.NS,d623ab98c5ab,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
HINDUNILVR.NS,6ae4cbc68cf5,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ICICIBANK.NS,d63609af1d97,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ICICIBANK.NS,42fb30971459,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ICICIBANK.NS,9a90cf51924c,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
INDIGO.NS,25dbcd62a57b,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
INDIGO.NS,f0e8b414f4f4,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
INDIGO.NS,208247af8cb1,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
INFY.NS,ce793e4e8839,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
INFY.NS,90f8d2184423,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
INFY.NS,6c549effc744,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ITC.NS,ec7014f4e9df,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ITC.NS,1ff50678cced,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ITC.NS,dd4365c40715,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
JIOFIN.NS,a136644c1d2e,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
JIOFIN.NS,0d2db96d5965,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
JIOFIN.NS,beb622d9d178,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
JSWSTEEL.NS,a62a0a0f6fd9,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
JSWSTEEL.NS,f6cbf70e626f,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
JSWSTEEL.NS,15f1cf629f57,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
KOTAKBANK.NS,ae9b42f39a04,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
KOTAKBANK.NS,8778f8301216,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
KOTAKBANK.NS,572bb63ba388,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
LT.NS,8c272c989297,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
LT.NS,1e25cd6b3edc,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
LT.NS,fffa74c6ced2,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
M&M.NS,0743b33ecef7,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
M&M.NS,558d590356df,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
M&M.NS,a82ca768507c,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
MARUTI.NS,f65d66b576f5,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
MARUTI.NS,7ef4e7eabc45,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
MARUTI.NS,9d76042d0f88,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
MAXHEALTH.NS,df25620a16f2,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
MAXHEALTH.NS,6687bf1b01c5,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
MAXHEALTH.NS,89ccde0bb6bb,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
NESTLEIND.NS,f04bde3608d3,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
NESTLEIND.NS,7aadd30cf3dd,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
NESTLEIND.NS,718f85fe9370,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
NTPC.NS,1f4a7d9a04b8,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
NTPC.NS,a97c5bf097c4,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
NTPC.NS,e850d8e39a71,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ONGC.NS,f9edf9feaee0,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ONGC.NS,09b398bfd1df,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
ONGC.NS,6c29ed4f4b31,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
POWERGRID.NS,138281d5dbb0,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
POWERGRID.NS,40b304c072b0,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
POWERGRID.NS,baeacbd6a8ee,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
RELIANCE.NS,bc1d09c11c6c,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
RELIANCE.NS,a4264ce3aa03,COMPLETE,True,v1,True,True,PROVENANCE_COMPLETE
